,SampleID,Site,Room.Type,Start.Date,SamplerStart,CollectionDate,SamplerEnd,Entry,SamplerNumber,Cartridge,Location,CollectionMethod,Notes,Flushed.Toilets,occupiedrooms,stack.n,wing.n,building.n,s.wing.n,source.rooms,Runtime,N,ORF1ab,S,MS2,Result,ct,X,X.1,LogCopiesPerL,lab,DayCount,floor,Day
371,E362,Barnhart,Indoors,NA,NA,4/4/2021,937,9,NA,NA,7th Floor Elevator Call Button,Swab,NA,NA,NA,,10,16,6,NA,NA,33.1,No Amp,No Amp,26.7,Negative,37.7,NA,,,uo,13,traced,55
372,E363,Barnhart,Indoors,NA,NA,4/4/2021,936,9,NA,NA,7th Floor S Hallway Door Handle,Swab,NA,NA,NA,,10,16,6,NA,NA,30.6,32.8,No Amp,27.9,Positive (2/3),34.5,NA,,,uo,13,traced,55
373,E364,Barnhart,Port,NA,NA,4/4/2021,914,13,5,NA,Port #26,Swab,NA,NA,202,1,10,16,6,"202, 302, 402, 502, 602, 702",NA,32.5,No Amp,No Amp,27.5,Negative,37.5,NA,,,uo,13,,55
374,E365,Barnhart,Roof,4/3/2021,1102,4/4/2021,915,13,5,NA,Exhaust #26,PUF,NA,NA,202,1,10,16,6,"202, 302, 402, 502, 602, 702",NA,No Amp,No Amp,No Amp,No Amp,Negative,40,NA,,,uo,13,,55
375,E366,Barnhart,Port,NA,NA,4/4/2021,916,13,7,NA,Port #27,Swab,NA,NA,204,1,10,16,6,"101, 106, 204, 304, 404, 504, 604, 704",NA,34.8,No Amp,No Amp,27.2,Negative,38.3,NA,,,uo,13,,55
376,E367,Barnhart,Roof,4/3/2021,1334,4/4/2021,917,13,7,K,Exhaust #27,PUF,NA,NA,204,1,10,16,6,"101, 106, 204, 304, 404, 504, 604, 704",NA,32,No Amp,No Amp,31.1,Negative,37.3,NA,,,uo,13,,55
377,E368,Barnhart,Port,NA,NA,4/4/2021,918,13,9,NA,Port #30,Swab,NA,NA,"206, 208",2,10,16,6,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,No Amp,No Amp,No Amp,28.7,Negative,40,NA,,,uo,13,,55
378,E369,Barnhart,Roof,4/3/2021,1336,4/4/2021,919,13,9,Z,Exhaust #30,PUF,"TF was not running, switch is on, no dust line on PUF",NA,"206, 208",2,10,16,6,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,No Amp,No Amp,No Amp,26.5,Negative,38.6,NA,,,uo,13,,55
379,E370,Barnhart,Port,NA,NA,4/4/2021,921,13,8,NA,Port #31,Swab,NA,NA,"210, 212",2,10,16,6,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,30,31.4,No Amp,29.5,Positive (2/3),33.8,NA,,,uo,13,,55
380,E371,Barnhart,Roof,4/3/2021,1338,4/4/2021,922,13,8,F,Exhaust #31,PUF,"TF was not running, switch is on, no dust line on PUF",NA,"210, 212",2,10,16,6,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,No Amp,No Amp,No Amp,No Amp,Negative,40,NA,,,uo,13,,55
381,E372,Barnhart,Port,NA,NA,4/4/2021,925,13,4,NA,Port #34,Swab,NA,NA,214,1,10,16,6,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,31.9,No Amp,No Amp,26.2,Negative,37.3,NA,,,uo,13,,55
382,E373,Barnhart,Roof,4/3/2021,NA,4/4/2021,926,13,4,NA,Exhaust #34,PUF,NA,NA,214,1,10,16,6,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,30.8,27.2,No Amp,24.8,Positive (2/3),32.7,NA,,,uo,13,,55
383,E374,Barnhart,Port,NA,NA,4/4/2021,928,13,4,NA,Port #32,Swab,NA,NA,"209, 211",2,10,16,6,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,31.3,30.5,No Amp,26.8,Positive (2/3),33.9,NA,,,uo,13,,55
384,E375,Barnhart,Roof,4/3/2021,1346,4/4/2021,929,13,4,G,Exhaust #32,PUF,NA,NA,"209, 211",2,10,16,6,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,33.7,32.5,No Amp,26.2,Positive (2/3),35.4,NA,,,uo,13,,55
385,E376,Barnhart,Port,NA,NA,4/4/2021,930,13,3,NA,Port #29,Swab,NA,NA,"105. 205, 207",3,10,16,6,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,30.7,32,No Amp,26.8,Positive (2/3),34.2,NA,,,uo,13,,55
386,E377,Barnhart,Roof,4/3/2021,1348,4/4/2021,931,13,3,C,Exhaust #29,PUF,NA,NA,"105,  205, 207",3,10,16,6,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,31.8,32,32.6,26.9,Positive (3/3),32.1,NA,,,uo,13,,55
387,E378,Barnhart,Roof,4/3/2021,1350,4/4/2021,934,13,2,NA,Exhaust #38 & #39,PUF,NA,NA,NA,0,10,16,6,"225, 325, 425, 525, 625, 725, 221, 321, 421, 521, 621, 721, 223, 323, 423, 523, 623, 723",NA,31.9,No Amp,No Amp,28.5,Negative,37.3,NA,,,uo,13,,55
388,UOR04042021,Barnhart,Shop,4/3/2021,935,4/4/2021,830,13,NA,NA,North Cleanout,50 ml/10 minutes,340 mL collected,No,NA,,10,16,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6.931,osu,13,,55
389,E379,Barnhart,Indoors,NA,NA,4/5/2021,1035,10,NA,NA,W. Entrance Door Handle Exterior,Swab,NA,NA,NA,,8,14,7,NA,NA,31.3,No Amp,No Amp,28.1,Negative,37.1,NA,,,uo,14,lobby,56
390,E380,Barnhart,Indoors,NA,NA,4/5/2021,1035,10,NA,NA,W. Entrance Door Handle Interior,Swab,NA,NA,NA,,8,14,7,NA,NA,30.4,32.1,25.9,26.9,Positive (3/3),29.4,NA,,,uo,14,lobby,56
391,E381,Barnhart,Indoors,NA,NA,4/5/2021,1035,10,NA,NA,Lobby Call Elevator Button,Swab,NA,NA,NA,,8,14,7,NA,NA,30.6,32.7,No Amp,27.9,Positive (2/3),34.4,NA,,,uo,14,lobby,56
392,E382,Barnhart,Indoors,NA,NA,4/5/2021,1035,10,NA,NA,Positive Floor Elevator Railing,Swab,NA,NA,NA,,8,14,7,NA,NA,29.8,30.6,30,28.3,Positive (3/3),30.1,NA,,,uo,14,positive,56
393,E383,Barnhart,Indoors,NA,NA,4/5/2021,1035,10,NA,NA,Positive Floor Elevator Buttons,Swab,NA,NA,NA,,8,14,7,NA,NA,29.5,30.2,29.2,27.3,Positive (3/3),29.6,NA,,,uo,14,positive,56
394,E384,Barnhart,Indoors,NA,NA,4/5/2021,1035,10,NA,NA,2nd Floor Elevator Call Button,Swab,NA,NA,NA,,8,14,7,NA,NA,27.7,28.9,23.3,26.3,Positive (3/3),26.6,NA,,,uo,14,positive,56
395,E385,Barnhart,Indoors,NA,NA,4/5/2021,1035,10,NA,NA,2nd Floor N Hallway Door Handle,Swab,NA,NA,NA,,8,14,7,NA,NA,25.6,26.4,23.9,27.1,Positive (3/3),25.3,NA,,,uo,14,positive,56
396,E386,Barnhart,Indoors,NA,NA,4/5/2021,1035,10,NA,NA,2nd Floor Stairway Door Handle,Swab,NA,NA,NA,,8,14,7,NA,NA,30.9,30.1,26.9,27.6,Positive (3/3),29.3,NA,,,uo,14,positive,56
397,E387,Barnhart,Indoors,NA,NA,4/5/2021,1035,10,NA,NA,Ground Floor Stairway Door Handle,Swab,NA,NA,NA,,8,14,7,NA,NA,33.6,No Amp,No Amp,27.5,Negative,37.9,NA,,,uo,14,lobby,56
398,E388,Barnhart,Indoors,NA,NA,4/5/2021,1035,10,NA,NA,Traced Floor Elevator Railing,Swab,NA,NA,NA,,8,14,7,NA,NA,32.8,No Amp,No Amp,28.4,Negative,37.6,NA,,,uo,14,traced,56
399,E389,Barnhart,Indoors,NA,NA,4/5/2021,1035,10,NA,NA,Traced Floor Elevator Buttons,Swab,NA,NA,NA,,8,14,7,NA,NA,31.7,No Amp,No Amp,26.6,Negative,37.2,NA,,,uo,14,traced,56
400,E390,Barnhart,Indoors,NA,NA,4/5/2021,1035,10,NA,NA,7th Floor Elevator Call Button,Swab,NA,NA,NA,,8,14,7,NA,NA,31.9,No Amp,29.5,28.5,Positive (2/3),33.8,NA,,,uo,14,traced,56
401,E391,Barnhart,Indoors,NA,NA,4/5/2021,1035,10,NA,NA,7th Floor S Hallway Door Handle,Swab,NA,NA,NA,,8,14,7,NA,NA,30.6,33.7,No Amp,28.9,Positive (2/3),34.8,NA,,,uo,14,traced,56
402,E392,Barnhart,Port,NA,NA,4/5/2021,1200,14,5,NA,Port #26,Swab,NA,NA,,,8,14,7,"202, 302, 402, 502, 602, 702",NA,30.8,No Amp,No Amp,28.3,Negative,36.9,NA,,,uo,14,,56
403,E393,Barnhart,Roof,4/4/2021,915,4/5/2021,1200,14,5,NA,Exhaust #26,PUF,NA,NA,,0,8,14,7,"202, 302, 402, 502, 602, 702",NA,No Amp,No Amp,No Amp,No Amp,Negative,40,NA,,,uo,14,,56
404,E394,Barnhart,Port,NA,NA,4/5/2021,1200,14,7,NA,Port #27,Swab,NA,NA,204,1,8,14,7,"101, 106, 204, 304, 404, 504, 604, 704",NA,32.5,No Amp,30.1,27.3,Positive (2/3),34.2,NA,,,uo,14,,56
405,E395,Barnhart,Roof,4/4/2021,917,4/5/2021,1200,14,7,K,Exhaust #27,PUF,NA,NA,204,1,8,14,7,"101, 106, 204, 304, 404, 504, 604, 704",NA,33,34,27.1,26.5,Positive (3/3),31.4,NA,,,uo,14,,56
406,E396,Barnhart,Port,NA,NA,4/5/2021,1200,14,8,NA,Port #31,Swab,NA,NA,"210, 212",2,8,14,7,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,29.7,29.2,27,29.5,Positive (3/3),28.6,NA,,,uo,14,,56
407,E397,Barnhart,Roof,4/4/2021,1031,4/5/2021,1200,14,8,F,Exhaust #31,PUF,RDM Participant,NA,"210, 212",2,8,14,7,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,27.3,27,26.9,27.3,Positive (3/3),27,NA,,,uo,14,,56
408,E398,Barnhart,Port,NA,NA,4/5/2021,1200,14,4,NA,Port #34,Swab,NA,NA,214,1,8,14,7,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,32,No Amp,No Amp,27.9,Negative,37.3,NA,,,uo,14,,56
409,E399,Barnhart,Roof,4/4/2021,923,4/5/2021,1200,14,4,NA,Exhaust #34,PUF,NA,NA,214,1,8,14,7,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,30.9,31.1,No Amp,26.5,Positive (2/3),34,NA,,,uo,14,,56
410,E400,Barnhart,Port,NA,NA,4/5/2021,1200,14,NA,NA,Port #32,Swab,NA,NA,"209, 211",2,8,14,7,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,31.2,No Amp,No Amp,28.1,Negative,37.1,NA,,,uo,14,,56
411,E401,Barnhart,Roof,4/4/2021,1346,4/5/2021,1200,14,4,G,Exhaust #32,PUF,NA,NA,"209, 211",2,8,14,7,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,33.1,34.4,No Amp,26.7,Positive (2/3),35.8,NA,,,uo,14,,56
412,E402,Barnhart,Port,NA,NA,4/5/2021,1200,14,3,NA,Port #29,Swab,NA,NA,"105, 205, 207",3,8,14,7,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,31,No Amp,No Amp,29.9,Negative,37,NA,,,uo,14,,56
413,E403,Barnhart,Roof,4/4/2021,1348,4/5/2021,1200,14,3,C,Exhaust #29,PUF,NA,NA,"105, 205, 207",3,8,14,7,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,32.5,No Amp,No Amp,No Amp,Negative,37.5,NA,,,uo,14,,56
414,E404,Barnhart,Roof,4/4/2021,1350,4/5/2021,1200,14,2,NA,Exhaust #38 & #39,PUF,NA,NA,NA,0,8,14,7,"225, 325, 425, 525, 625, 725, 221, 321, 421, 521, 621, 721, 223, 323, 423, 523, 623, 723",NA,31.2,31.4,No Amp,26.9,Positive (2/3),34.2,NA,,,uo,14,,56
415,UOR04052021,Barnhart,Shop,4/4/2021,935,4/5/2021,830,14,NA,NA,North Cleanout,50 ml/10 minutes,1 liter,No,NA,,8,14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,7.787,osu,14,,56
416,E405,Barnhart,Indoors,NA,NA,4/6/2021,1124,11,NA,NA,W. Entrance Door Handle Exterior,Swab,NA,NA,NA,,7,14,7,NA,NA,35,No Amp,No Amp,28.7,Negative,38.3,NA,,,uo,15,lobby,57
417,E406,Barnhart,Indoors,NA,NA,4/6/2021,1124,11,NA,NA,W. Entrance Door Handle Interior,Swab,NA,NA,NA,,7,14,7,NA,NA,25.6,28.4,No Amp,28.4,Positive (2/3),31.3,NA,,,uo,15,lobby,57
418,E407,Barnhart,Indoors,NA,NA,4/6/2021,1124,11,NA,NA,Lobby Call Elevator Button,Swab,NA,NA,NA,,7,14,7,NA,NA,32.5,No Amp,No Amp,29.4,Negative,37.5,NA,,,uo,15,lobby,57
419,E408,Barnhart,Indoors,NA,NA,4/6/2021,1124,11,NA,NA,Positive Floor Elevator Railing,Swab,NA,NA,NA,,7,14,7,NA,NA,32,No Amp,No Amp,30.5,Negative,37.3,NA,,,uo,15,positive,57
420,E409,Barnhart,Indoors,NA,NA,4/6/2021,1124,11,NA,NA,Positive Floor Elevator Buttons,Swab,NA,NA,NA,,7,14,7,NA,NA,31.5,31.9,No Amp,32.8,Positive (2/3),34.5,NA,,,uo,15,positive,57
421,E410,Barnhart,Indoors,NA,NA,4/6/2021,1124,11,NA,NA,2nd Floor Elevator Call Button,Swab,NA,NA,NA,,7,14,7,NA,NA,29.8,31.5,No Amp,28.5,Positive (2/3),33.7,NA,,,uo,15,positive,57
422,E411,Barnhart,Indoors,NA,NA,4/6/2021,1124,11,NA,NA,2nd Floor N Hallway Door Handle,Swab,NA,NA,NA,,7,14,7,NA,NA,25.3,26.7,23,30.2,Positive (3/3),25,NA,,,uo,15,positive,57
423,E412,Barnhart,Indoors,NA,NA,4/6/2021,1124,11,NA,NA,2nd Floor Stairway Door Handle,Swab,NA,NA,NA,,7,14,7,NA,NA,29.1,28.9,21.9,28.5,Positive (3/3),26.6,NA,,,uo,15,positive,57
424,E413,Barnhart,Indoors,NA,NA,4/6/2021,1124,11,NA,NA,Ground Floor Stairway Door Handle,Swab,NA,NA,NA,,7,14,7,NA,NA,33.6,No Amp,No Amp,27.6,Negative,37.9,NA,,,uo,15,lobby,57
425,E414,Barnhart,Indoors,NA,NA,4/6/2021,1124,11,NA,NA,Traced Floor Elevator Railing,Swab,NA,NA,NA,,7,14,7,NA,NA,No Amp,No Amp,No Amp,27.8,Negative,40,NA,,,uo,15,traced,57
426,E415,Barnhart,Indoors,NA,NA,4/6/2021,1124,11,NA,NA,Traced Floor Elevator Buttons,Swab,NA,NA,NA,,7,14,7,NA,NA,No Amp,No Amp,30.7,29,Negative,36.9,NA,,,uo,15,traced,57
427,E416,Barnhart,Indoors,NA,NA,4/6/2021,1124,11,NA,NA,7th Floor Elevator Call Button,Swab,NA,NA,NA,,7,14,7,NA,NA,31.8,No Amp,No Amp,28.8,Negative,37.3,NA,,,uo,15,traced,57
428,E417,Barnhart,Indoors,NA,NA,4/6/2021,1124,11,NA,NA,7th Floor S Hallway Door Handle,Swab,NA,NA,NA,,7,14,7,NA,NA,31.8,No Amp,28.8,27.5,Positive (2/3),33.5,NA,,,uo,15,traced,57
429,E418,Barnhart,Port,NA,NA,4/6/2021,1158,15,5,NA,Port #26,Swab,NA,NA,202,1,7,14,7,"202, 302, 402, 502, 602, 702",NA,34.3,No Amp,No Amp,28.9,Negative,38.1,NA,,,uo,15,,57
430,E419,Barnhart,Roof,4/5/2021,1200,4/6/2021,1159,15,5,NA,Exhaust #26,PUF,NA,NA,202,1,7,14,7,"202, 302, 402, 502, 602, 702",NA,31.5,No Amp,No Amp,No Amp,Negative,37.2,NA,,,uo,15,,57
431,E420,Barnhart,Port,NA,NA,4/6/2021,1200,15,7,NA,Port #27,Swab,NA,NA,204,1,7,14,7,"101, 106, 204, 304, 404, 504, 604, 704",NA,No Amp,No Amp,No Amp,32.7,Negative,40,NA,,,uo,15,,57
432,E421,Barnhart,Roof,4/5/2021,1200,4/6/2021,1201,15,7,K,Exhaust #27,PUF,NA,NA,204,1,7,14,7,"101, 106, 204, 304, 404, 504, 604, 704",NA,No Amp,No Amp,No Amp,No Amp,Negative,40,NA,,,uo,15,,57
433,E422,Barnhart,Port,NA,NA,4/6/2021,1203,15,8,NA,Port #31,Swab,"Sampler not running no dust on puf, did not collect, checked at 1500 and was running again.",NA,"210, 212",2,7,14,7,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,32.6,No Amp,No Amp,28.5,Negative,37.5,NA,,,uo,15,,57
434,E423,Barnhart,Roof,4/5/2021,1200,4/6/2021,1204,15,8,F,Exhaust #31,PUF,RDM Participant,NA,"210, 212",2,7,14,7,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,29.5,31.5,No Amp,28.7,Positive (2/3),33.7,NA,,,uo,15,,57
435,E424,Barnhart,Port,NA,NA,4/6/2021,1205,15,4,NA,Port #34,Swab,NA,NA,214,1,7,14,7,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,32.6,No Amp,No Amp,28,Negative,37.5,NA,,,uo,15,,57
436,E425,Barnhart,Roof,4/5/2021,1200,4/6/2021,1206,15,4,NA,Exhaust #34,PUF,NA,NA,214,1,7,14,7,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,31.6,No Amp,No Amp,29.1,Negative,37.2,NA,,,uo,15,,57
437,E426,Barnhart,Port,NA,NA,4/6/2021,1207,15,NA,NA,Port #32,Swab,NA,NA,"209, 211",2,7,14,7,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,33.4,No Amp,No Amp,27.7,Negative,37.8,NA,,,uo,15,,57
438,E427,Barnhart,Roof,4/5/2021,1200,4/6/2021,1208,15,4,G,Exhaust #32,PUF,NA,NA,"209, 211",2,7,14,7,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,28.3,No Amp,27.4,31.3,Positive (2/3),31.9,NA,,,uo,15,,57
439,E428,Barnhart,Port,NA,NA,4/6/2021,1209,15,3,NA,Port #29,Swab,NA,NA,"105, 205, 207",3,7,14,7,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,32.3,No Amp,No Amp,30.4,Negative,37.4,NA,,,uo,15,,57
440,E429,Barnhart,Roof,4/5/2021,1200,4/6/2021,1210,15,3,C,Exhaust #29,PUF,NA,NA,"105, 205, 207",3,7,14,7,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,No Amp,No Amp,No Amp,No Amp,Negative,40,NA,,,uo,15,,57
441,E430,Barnhart,Roof,4/5/2021,1200,4/6/2021,1215,15,2,NA,Exhaust #38 & #39,PUF,NA,NA,NA,0,7,14,7,"225, 325, 425, 525, 625, 725, 221, 321, 421, 521, 621, 721, 223, 323, 423, 523, 623, 723",NA,32.6,No Amp,No Amp,No Amp,Negative,37.5,NA,,,uo,15,,57
442,UOR04062021,Barnhart,Shop,4/5/2021,905,4/6/2021,830,15,NA,NA,North Cleanout,50 ml/10 minutes,pump moisture sensor broekn 10 liters,No,NA,,7,14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6.564,osu,15,,57
443,E431,Barnhart,Indoors,NA,NA,4/7/2021,1050,12,NA,NA,W. Entrance Door Handle Exterior,Swab,NA,NA,NA,,9,16,7,NA,NA,31.4,No Amp,No Amp,29.2,Negative,37.1,NA,,,uo,16,lobby,58
444,E432,Barnhart,Indoors,NA,NA,4/7/2021,1050,12,NA,NA,W. Entrance Door Handle Interior,Swab,NA,NA,NA,,9,16,7,NA,NA,26.8,28.8,No Amp,28.7,Positive (2/3),31.9,NA,,,uo,16,lobby,58
445,E433,Barnhart,Indoors,NA,NA,4/7/2021,1050,12,NA,NA,Lobby Call Elevator Button,Swab,NA,NA,NA,,9,16,7,NA,NA,31.7,No Amp,No Amp,29.3,Negative,37.2,NA,,,uo,16,lobby,58
446,E434,Barnhart,Indoors,NA,NA,4/7/2021,1050,12,NA,NA,Positive Floor Elevator Railing,Swab,NA,NA,NA,,9,16,7,NA,NA,31.6,32.6,No Amp,29.1,Positive (2/3),34.7,NA,,,uo,16,positive,58
447,E435,Barnhart,Indoors,NA,NA,4/7/2021,1050,12,NA,NA,Positive Floor Elevator Buttons,Swab,NA,NA,NA,,9,16,7,NA,NA,30.3,No Amp,No Amp,27.9,Negative,36.8,NA,,,uo,16,positive,58
448,E436,Barnhart,Indoors,NA,NA,4/7/2021,1050,12,NA,NA,2nd Floor Elevator Call Button,Swab,NA,NA,NA,,9,16,7,NA,NA,31.5,32.1,No Amp,32.4,Positive (2/3),34.5,NA,,,uo,16,positive,58
449,E437,Barnhart,Indoors,NA,NA,4/7/2021,1050,12,NA,NA,2nd Floor N Hallway Door Handle,Swab,NA,NA,NA,,9,16,7,NA,NA,25.1,26.4,24.7,30,Positive (3/3),25.4,NA,,,uo,16,positive,58
450,E438,Barnhart,Indoors,NA,NA,4/7/2021,1050,12,NA,NA,2nd Floor Stairway Door Handle,Swab,NA,NA,NA,,9,16,7,NA,NA,31.2,33.8,28.4,29,Positive (3/3),31.1,NA,,,uo,16,positive,58
451,E439,Barnhart,Indoors,NA,NA,4/7/2021,1050,12,NA,NA,Ground Floor Stairway Door Handle,Swab,NA,NA,NA,,9,16,7,NA,NA,31,No Amp,26.1,29.5,Positive (2/3),32.3,NA,,,uo,16,lobby,58
452,E440,Barnhart,Indoors,NA,NA,4/7/2021,1050,12,NA,NA,Traced Floor Elevator Railing,Swab,NA,NA,NA,,9,16,7,NA,NA,No Amp,No Amp,31.4,29.1,Negative,37.1,NA,,,uo,16,traced,58
453,E441,Barnhart,Indoors,NA,NA,4/7/2021,1050,12,NA,NA,Traced Floor Elevator Buttons,Swab,NA,NA,NA,,9,16,7,NA,NA,32.4,No Amp,No Amp,28.8,Negative,37.5,NA,,,uo,16,traced,58
454,E442,Barnhart,Indoors,NA,NA,4/7/2021,1050,12,NA,NA,7th Floor Elevator Call Button,Swab,NA,NA,NA,,9,16,7,NA,NA,32.5,No Amp,No Amp,30.6,Negative,37.5,NA,,,uo,16,traced,58
455,E443,Barnhart,Indoors,NA,NA,4/7/2021,1050,12,NA,NA,7th Floor S Hallway Door Handle,Swab,NA,NA,NA,,9,16,7,NA,NA,31.6,No Amp,No Amp,28,Negative,37.2,NA,,,uo,16,traced,58
456,E444,Barnhart,Port,NA,NA,4/7/2021,1135,16,5,NA,Port #26,Swab,NA,NA,202,1,9,16,7,"202, 302, 402, 502, 602, 702",NA,No Amp,No Amp,No Amp,21.6,Negative,40,NA,,,uo,16,,58
457,E445,Barnhart,Roof,4/6/2021,1159,4/7/2021,1136,16,5,NA,Exhaust #26,PUF,NA,NA,202,1,9,16,7,"202, 302, 402, 502, 602, 702",NA,28.6,No Amp,27.8,29.1,Positive (2/3),32.1,NA,,,uo,16,,58
458,E446,Barnhart,Port,NA,NA,4/7/2021,1137,16,7,NA,Port #27,Swab,NA,NA,204,1,9,16,7,"101, 106, 204, 304, 404, 504, 604, 704",NA,33.7,No Amp,No Amp,29.5,Negative,37.9,NA,,,uo,16,,58
459,E447,Barnhart,Roof,4/6/2021,1201,4/7/2021,1138,16,7,K,Exhaust #27,PUF,NA,NA,204,1,9,16,7,"101, 106, 204, 304, 404, 504, 604, 704",NA,32.6,No Amp,No Amp,29.7,Negative,37.5,NA,,,uo,16,,58
460,E448,Barnhart,Port,NA,NA,4/7/2021,1140,16,9,NA,Port #30,Swab,1 departed today,NA,"206, 208",2,9,16,7,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,30.2,No Amp,No Amp,25.1,Negative,36.7,NA,,,uo,16,,58
461,E449,Barnhart,Roof,4/6/2021,1203,4/7/2021,1141,16,9,Z,Exhaust #30,PUF,"1 departed today, see note from 4/6, sampler originally turned on 4/5 but not running on 4/6 am, running again 4/6 pm",NA,"206, 208",2,9,16,7,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,30.5,No Amp,No Amp,No Amp,Negative,36.8,NA,,,uo,16,,58
462,E450,Barnhart,Port,NA,NA,4/7/2021,1143,16,8,NA,Port #31,Swab,NA,NA,"210, 212",2,9,16,7,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,31,31.8,29.2,29.2,Positive (3/3),30.7,NA,,,uo,16,,58
463,E451,Barnhart,Roof,4/6/2021,1204,4/7/2021,1144,16,8,F,Exhaust #31,PUF,RDM Participant,NA,"210, 212",2,9,16,7,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,26.7,No Amp,No Amp,No Amp,Negative,35.6,NA,,,uo,16,,58
464,E452,Barnhart,Port,NA,NA,4/7/2021,1147,16,4,NA,Port #34,Swab,NA,NA,214,1,9,16,7,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,31.7,No Amp,No Amp,29.2,Negative,37.2,NA,,,uo,16,,58
465,E453,Barnhart,Roof,4/6/2021,1206,4/7/2021,1148,16,4,NA,Exhaust #34,PUF,NA,NA,214,1,9,16,7,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,30.8,31.2,No Amp,29.4,Positive (2/3),34,NA,,,uo,16,,58
466,E454,Barnhart,Port,NA,NA,4/7/2021,1149,16,NA,NA,Port #32,Swab,NA,NA,"209, 211",2,9,16,7,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,33.1,No Amp,No Amp,27.9,Negative,37.7,NA,,,uo,16,,58
467,E455,Barnhart,Roof,4/6/2021,1208,4/7/2021,1150,16,4,G,Exhaust #32,PUF,NA,NA,"209, 211",2,9,16,7,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,No Amp,No Amp,No Amp,No Amp,Negative,40,NA,,,uo,16,,58
468,E456,Barnhart,Port,NA,NA,4/7/2021,1152,16,3,NA,Port #29,Swab,1 departed today,NA,"205, 207",2,9,16,7,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,No Amp,No Amp,No Amp,27.6,Negative,40,NA,,,uo,16,,58
469,E457,Barnhart,Roof,4/6/2021,1210,4/7/2021,1153,16,3,C,Exhaust #29,PUF,1 departed today,NA,"205, 207",2,9,16,7,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,32.3,No Amp,31.2,25.6,Positive (2/3),34.5,NA,,,uo,16,,58
470,E458,Barnhart,Roof,4/6/2021,1215,4/7/2021,1157,16,2,NA,Exhaust #38 & #39,PUF,NA,NA,NA,0,9,16,7,"225, 325, 425, 525, 625, 725, 221, 321, 421, 521, 621, 721, 223, 323, 423, 523, 623, 723",NA,33.6,No Amp,No Amp,30.3,Negative,37.9,NA,,,uo,16,,58
