"","X.2","SampleID","Site","Room.Type","Start.Date","SamplerStart","CollectionDate","SamplerEnd","Entry","SamplerNumber","Cartridge","Location","CollectionMethod","Notes","Flushed.Toilets","occupiedrooms","stack.n","wing.n","building.n","s.wing.n","source.rooms","Runtime","N","ORF1ab","S","MS2","Result","ct","X","X.1","LogCopiesPerL","lab","Result.clean"
"184",366,"E357","Barnhart","Indoors",NA,NA,2021-04-04,945,9,NA,NA,"2nd Floor N Hallway Door Handle","Swab",NA,NA,NA,NA,10,16,6,NA,NA,"28.3","28.9","27.4","26.6","Positive (3/3)",28.2,NA,NA,NA,"uo","Positive"
"185",367,"E358","Barnhart","Indoors",NA,NA,2021-04-04,945,9,NA,NA,"2nd Floor Stairway Door Handle","Swab",NA,NA,NA,NA,10,16,6,NA,NA,"No Amp","No Amp","No Amp","29.4","Negative",40,NA,NA,NA,"uo","Negative"
"186",37,"E36","Barnhart","Roof","3/23/2021",1136,2021-03-24,1230,2,4,"G","Exhaust #32","PUF",NA,NA,NA,0,2,2,0,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"31.6","No Amp","No Amp","27.9","Negative",37.2,NA,NA,NA,"uo","Negative"
"187",373,"E364","Barnhart","Port",NA,NA,2021-04-04,914,13,5,NA,"Port #26","Swab",NA,NA,"202",1,10,16,6,"202, 302, 402, 502, 602, 702",NA,"32.5","No Amp","No Amp","27.5","Negative",37.5,NA,NA,NA,"uo","Negative"
"188",375,"E366","Barnhart","Port",NA,NA,2021-04-04,916,13,7,NA,"Port #27","Swab",NA,NA,"204",1,10,16,6,"101, 106, 204, 304, 404, 504, 604, 704",NA,"34.8","No Amp","No Amp","27.2","Negative",38.3,NA,NA,NA,"uo","Negative"
"189",376,"E367","Barnhart","Roof","4/3/2021",1334,2021-04-04,917,13,7,"K","Exhaust #27","PUF",NA,NA,"204",1,10,16,6,"101, 106, 204, 304, 404, 504, 604, 704",NA,"32","No Amp","No Amp","31.1","Negative",37.3,NA,NA,NA,"uo","Negative"
"190",377,"E368","Barnhart","Port",NA,NA,2021-04-04,918,13,9,NA,"Port #30","Swab",NA,NA,"206, 208",2,10,16,6,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"No Amp","No Amp","No Amp","28.7","Negative",40,NA,NA,NA,"uo","Negative"
"191",378,"E369","Barnhart","Roof","4/3/2021",1336,2021-04-04,919,13,9,"Z","Exhaust #30","PUF","TF was not running, switch is on, no dust line on PUF",NA,"206, 208",2,10,16,6,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"No Amp","No Amp","No Amp","26.5","Negative",38.6,NA,NA,NA,"uo","Negative"
"192",38,"E37","Barnhart","Port",NA,NA,2021-03-24,1232,2,3,NA,"Port #29","Swab","suspected cases",NA,"105, 107",2,2,2,0,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"31.8","30","25.9","28","Positive (3/3)",29.2,NA,NA,NA,"uo","Positive"
"193",379,"E370","Barnhart","Port",NA,NA,2021-04-04,921,13,8,NA,"Port #31","Swab",NA,NA,"210, 212",2,10,16,6,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"30","31.4","No Amp","29.5","Positive (2/3)",33.8,NA,NA,NA,"uo","Positive"
"194",381,"E372","Barnhart","Port",NA,NA,2021-04-04,925,13,4,NA,"Port #34","Swab",NA,NA,"214",1,10,16,6,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"31.9","No Amp","No Amp","26.2","Negative",37.3,NA,NA,NA,"uo","Negative"
"195",382,"E373","Barnhart","Roof","4/3/2021",NA,2021-04-04,926,13,4,NA,"Exhaust #34","PUF",NA,NA,"214",1,10,16,6,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"30.8","27.2","No Amp","24.8","Positive (2/3)",32.7,NA,NA,NA,"uo","Positive"
"196",383,"E374","Barnhart","Port",NA,NA,2021-04-04,928,13,4,NA,"Port #32","Swab",NA,NA,"209, 211",2,10,16,6,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"31.3","30.5","No Amp","26.8","Positive (2/3)",33.9,NA,NA,NA,"uo","Positive"
"197",384,"E375","Barnhart","Roof","4/3/2021",1346,2021-04-04,929,13,4,"G","Exhaust #32","PUF",NA,NA,"209, 211",2,10,16,6,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"33.7","32.5","No Amp","26.2","Positive (2/3)",35.4,NA,NA,NA,"uo","Positive"
"198",385,"E376","Barnhart","Port",NA,NA,2021-04-04,930,13,3,NA,"Port #29","Swab",NA,NA,"105. 205, 207",3,10,16,6,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"30.7","32","No Amp","26.8","Positive (2/3)",34.2,NA,NA,NA,"uo","Positive"
"199",386,"E377","Barnhart","Roof","4/3/2021",1348,2021-04-04,931,13,3,"C","Exhaust #29","PUF",NA,NA,"105,  205, 207",3,10,16,6,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"31.8","32","32.6","26.9","Positive (3/3)",32.1,NA,NA,NA,"uo","Positive"
"200",387,"E378","Barnhart","Roof","4/3/2021",1350,2021-04-04,934,13,2,NA,"Exhaust #38 & #39","PUF",NA,NA,NA,0,10,16,6,"225, 325, 425, 525, 625, 725, 221, 321, 421, 521, 621, 721, 223, 323, 423, 523, 623, 723",NA,"31.9","No Amp","No Amp","28.5","Negative",37.3,NA,NA,NA,"uo","Negative"
"201",389,"E379","Barnhart","Indoors",NA,NA,2021-04-05,1035,10,NA,NA,"W. Entrance Door Handle Exterior","Swab",NA,NA,NA,NA,8,14,7,NA,NA,"31.3","No Amp","No Amp","28.1","Negative",37.1,NA,NA,NA,"uo","Negative"
"202",39,"E38","Barnhart","Roof","3/23/2021",1138,2021-03-24,1232,2,3,"C","Exhaust #29","PUF","suspected cases",NA,"105, 107",2,2,2,0,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"30.5","31.6","27.2","27.6","Positive (3/3)",29.8,NA,NA,NA,"uo","Positive"
"203",390,"E380","Barnhart","Indoors",NA,NA,2021-04-05,1035,10,NA,NA,"W. Entrance Door Handle Interior","Swab",NA,NA,NA,NA,8,14,7,NA,NA,"30.4","32.1","25.9","26.9","Positive (3/3)",29.4,NA,NA,NA,"uo","Positive"
"204",391,"E381","Barnhart","Indoors",NA,NA,2021-04-05,1035,10,NA,NA,"Lobby Call Elevator Button","Swab",NA,NA,NA,NA,8,14,7,NA,NA,"30.6","32.7","No Amp","27.9","Positive (2/3)",34.4,NA,NA,NA,"uo","Positive"
"205",392,"E382","Barnhart","Indoors",NA,NA,2021-04-05,1035,10,NA,NA,"Positive Floor Elevator Railing","Swab",NA,NA,NA,NA,8,14,7,NA,NA,"29.8","30.6","30","28.3","Positive (3/3)",30.1,NA,NA,NA,"uo","Positive"
"206",393,"E383","Barnhart","Indoors",NA,NA,2021-04-05,1035,10,NA,NA,"Positive Floor Elevator Buttons","Swab",NA,NA,NA,NA,8,14,7,NA,NA,"29.5","30.2","29.2","27.3","Positive (3/3)",29.6,NA,NA,NA,"uo","Positive"
"207",394,"E384","Barnhart","Indoors",NA,NA,2021-04-05,1035,10,NA,NA,"2nd Floor Elevator Call Button","Swab",NA,NA,NA,NA,8,14,7,NA,NA,"27.7","28.9","23.3","26.3","Positive (3/3)",26.6,NA,NA,NA,"uo","Positive"
"208",395,"E385","Barnhart","Indoors",NA,NA,2021-04-05,1035,10,NA,NA,"2nd Floor N Hallway Door Handle","Swab",NA,NA,NA,NA,8,14,7,NA,NA,"25.6","26.4","23.9","27.1","Positive (3/3)",25.3,NA,NA,NA,"uo","Positive"
"209",396,"E386","Barnhart","Indoors",NA,NA,2021-04-05,1035,10,NA,NA,"2nd Floor Stairway Door Handle","Swab",NA,NA,NA,NA,8,14,7,NA,NA,"30.9","30.1","26.9","27.6","Positive (3/3)",29.3,NA,NA,NA,"uo","Positive"
"210",40,"E39","Barnhart","Roof","3/23/2021",1340,2021-03-24,1240,2,2,NA,"Exhaust #38 & #39","PUF",NA,NA,NA,0,2,2,0,"225, 325, 425, 525, 625, 725, 221, 321, 421, 521, 621, 721, 223, 323, 423, 523, 623, 723",NA,"29.7","31.3","21.4","27.9","Positive (3/3)",27.5,NA,NA,NA,"uo","Positive"
"211",402,"E392","Barnhart","Port",NA,NA,2021-04-05,1200,14,5,NA,"Port #26","Swab",NA,NA,NA,NA,8,14,7,"202, 302, 402, 502, 602, 702",NA,"30.8","No Amp","No Amp","28.3","Negative",36.9,NA,NA,NA,"uo","Negative"
"212",404,"E394","Barnhart","Port",NA,NA,2021-04-05,1200,14,7,NA,"Port #27","Swab",NA,NA,"204",1,8,14,7,"101, 106, 204, 304, 404, 504, 604, 704",NA,"32.5","No Amp","30.1","27.3","Positive (2/3)",34.2,NA,NA,NA,"uo","Positive"
"213",405,"E395","Barnhart","Roof","4/4/2021",917,2021-04-05,1200,14,7,"K","Exhaust #27","PUF",NA,NA,"204",1,8,14,7,"101, 106, 204, 304, 404, 504, 604, 704",NA,"33","34","27.1","26.5","Positive (3/3)",31.4,NA,NA,NA,"uo","Positive"
"214",406,"E396","Barnhart","Port",NA,NA,2021-04-05,1200,14,8,NA,"Port #31","Swab",NA,NA,"210, 212",2,8,14,7,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"29.7","29.2","27","29.5","Positive (3/3)",28.6,NA,NA,NA,"uo","Positive"
"215",407,"E397","Barnhart","Roof","4/4/2021",1031,2021-04-05,1200,14,8,"F","Exhaust #31","PUF","RDM Participant",NA,"210, 212",2,8,14,7,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"27.3","27","26.9","27.3","Positive (3/3)",27,NA,NA,NA,"uo","Positive"
"216",408,"E398","Barnhart","Port",NA,NA,2021-04-05,1200,14,4,NA,"Port #34","Swab",NA,NA,"214",1,8,14,7,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"32","No Amp","No Amp","27.9","Negative",37.3,NA,NA,NA,"uo","Negative"
"217",409,"E399","Barnhart","Roof","4/4/2021",923,2021-04-05,1200,14,4,NA,"Exhaust #34","PUF",NA,NA,"214",1,8,14,7,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"30.9","31.1","No Amp","26.5","Positive (2/3)",34,NA,NA,NA,"uo","Positive"
"218",41,"E40","Barnhart","Port",NA,NA,2021-03-24,1234,2,1,NA,"Port #40","Swab",NA,NA,NA,0,2,2,0,"227, 327, 427, 527, 627, 727, 229, 329, 429, 529, 629, 729",NA,"30.6","No Amp","30.5","26.4","Positive (2/3)",33.7,NA,NA,NA,"uo","Positive"
"219",410,"E400","Barnhart","Port",NA,NA,2021-04-05,1200,14,NA,NA,"Port #32","Swab",NA,NA,"209, 211",2,8,14,7,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"31.2","No Amp","No Amp","28.1","Negative",37.1,NA,NA,NA,"uo","Negative"
"220",411,"E401","Barnhart","Roof","4/4/2021",1346,2021-04-05,1200,14,4,"G","Exhaust #32","PUF",NA,NA,"209, 211",2,8,14,7,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"33.1","34.4","No Amp","26.7","Positive (2/3)",35.8,NA,NA,NA,"uo","Positive"
"221",412,"E402","Barnhart","Port",NA,NA,2021-04-05,1200,14,3,NA,"Port #29","Swab",NA,NA,"105, 205, 207",3,8,14,7,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"31","No Amp","No Amp","29.9","Negative",37,NA,NA,NA,"uo","Negative"
"222",414,"E404","Barnhart","Roof","4/4/2021",1350,2021-04-05,1200,14,2,NA,"Exhaust #38 & #39","PUF",NA,NA,NA,0,8,14,7,"225, 325, 425, 525, 625, 725, 221, 321, 421, 521, 621, 721, 223, 323, 423, 523, 623, 723",NA,"31.2","31.4","No Amp","26.9","Positive (2/3)",34.2,NA,NA,NA,"uo","Positive"
"223",416,"E405","Barnhart","Indoors",NA,NA,2021-04-06,1124,11,NA,NA,"W. Entrance Door Handle Exterior","Swab",NA,NA,NA,NA,7,14,7,NA,NA,"35","No Amp","No Amp","28.7","Negative",38.3,NA,NA,NA,"uo","Negative"
"224",417,"E406","Barnhart","Indoors",NA,NA,2021-04-06,1124,11,NA,NA,"W. Entrance Door Handle Interior","Swab",NA,NA,NA,NA,7,14,7,NA,NA,"25.6","28.4","No Amp","28.4","Positive (2/3)",31.3,NA,NA,NA,"uo","Positive"
"225",418,"E407","Barnhart","Indoors",NA,NA,2021-04-06,1124,11,NA,NA,"Lobby Call Elevator Button","Swab",NA,NA,NA,NA,7,14,7,NA,NA,"32.5","No Amp","No Amp","29.4","Negative",37.5,NA,NA,NA,"uo","Negative"
"226",419,"E408","Barnhart","Indoors",NA,NA,2021-04-06,1124,11,NA,NA,"Positive Floor Elevator Railing","Swab",NA,NA,NA,NA,7,14,7,NA,NA,"32","No Amp","No Amp","30.5","Negative",37.3,NA,NA,NA,"uo","Negative"
"227",420,"E409","Barnhart","Indoors",NA,NA,2021-04-06,1124,11,NA,NA,"Positive Floor Elevator Buttons","Swab",NA,NA,NA,NA,7,14,7,NA,NA,"31.5","31.9","No Amp","32.8","Positive (2/3)",34.5,NA,NA,NA,"uo","Positive"
"228",42,"E41","Barnhart","Roof","3/23/2021",1140,2021-03-24,1234,2,1,NA,"Exhaust #40","PUF",NA,NA,NA,0,2,2,0,"227, 327, 427, 527, 627, 727, 229, 329, 429, 529, 629, 729",NA,"31.5","32.7","No Amp","28.8","Positive (2/3)",34.7,NA,NA,NA,"uo","Positive"
"229",421,"E410","Barnhart","Indoors",NA,NA,2021-04-06,1124,11,NA,NA,"2nd Floor Elevator Call Button","Swab",NA,NA,NA,NA,7,14,7,NA,NA,"29.8","31.5","No Amp","28.5","Positive (2/3)",33.7,NA,NA,NA,"uo","Positive"
"230",422,"E411","Barnhart","Indoors",NA,NA,2021-04-06,1124,11,NA,NA,"2nd Floor N Hallway Door Handle","Swab",NA,NA,NA,NA,7,14,7,NA,NA,"25.3","26.7","23","30.2","Positive (3/3)",25,NA,NA,NA,"uo","Positive"
"231",423,"E412","Barnhart","Indoors",NA,NA,2021-04-06,1124,11,NA,NA,"2nd Floor Stairway Door Handle","Swab",NA,NA,NA,NA,7,14,7,NA,NA,"29.1","28.9","21.9","28.5","Positive (3/3)",26.6,NA,NA,NA,"uo","Positive"
"232",429,"E418","Barnhart","Port",NA,NA,2021-04-06,1158,15,5,NA,"Port #26","Swab",NA,NA,"202",1,7,14,7,"202, 302, 402, 502, 602, 702",NA,"34.3","No Amp","No Amp","28.9","Negative",38.1,NA,NA,NA,"uo","Negative"
"233",44,"E42","Barnhart","Port",NA,NA,2021-03-25,1010,3,11,NA,"Port #26","Swab",NA,NA,NA,0,3,3,0,"202, 302, 402, 502, 602, 702",NA,"30.8","32","26.3","26.5","Positive (3/3)",29.7,NA,NA,NA,"uo","Positive"
"234",431,"E420","Barnhart","Port",NA,NA,2021-04-06,1200,15,7,NA,"Port #27","Swab",NA,NA,"204",1,7,14,7,"101, 106, 204, 304, 404, 504, 604, 704",NA,"No Amp","No Amp","No Amp","32.7","Negative",40,NA,NA,NA,"uo","Negative"
"235",433,"E422","Barnhart","Port",NA,NA,2021-04-06,1203,15,8,NA,"Port #31","Swab","Sampler not running no dust on puf, did not collect, checked at 1500 and was running again.",NA,"210, 212",2,7,14,7,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"32.6","No Amp","No Amp","28.5","Negative",37.5,NA,NA,NA,"uo","Negative"
"236",434,"E423","Barnhart","Roof","4/5/2021",1200,2021-04-06,1204,15,8,"F","Exhaust #31","PUF","RDM Participant",NA,"210, 212",2,7,14,7,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"29.5","31.5","No Amp","28.7","Positive (2/3)",33.7,NA,NA,NA,"uo","Positive"
"237",435,"E424","Barnhart","Port",NA,NA,2021-04-06,1205,15,4,NA,"Port #34","Swab",NA,NA,"214",1,7,14,7,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"32.6","No Amp","No Amp","28","Negative",37.5,NA,NA,NA,"uo","Negative"
"238",436,"E425","Barnhart","Roof","4/5/2021",1200,2021-04-06,1206,15,4,NA,"Exhaust #34","PUF",NA,NA,"214",1,7,14,7,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"31.6","No Amp","No Amp","29.1","Negative",37.2,NA,NA,NA,"uo","Negative"
"239",437,"E426","Barnhart","Port",NA,NA,2021-04-06,1207,15,NA,NA,"Port #32","Swab",NA,NA,"209, 211",2,7,14,7,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"33.4","No Amp","No Amp","27.7","Negative",37.8,NA,NA,NA,"uo","Negative"
"240",438,"E427","Barnhart","Roof","4/5/2021",1200,2021-04-06,1208,15,4,"G","Exhaust #32","PUF",NA,NA,"209, 211",2,7,14,7,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"28.3","No Amp","27.4","31.3","Positive (2/3)",31.9,NA,NA,NA,"uo","Positive"
"241",439,"E428","Barnhart","Port",NA,NA,2021-04-06,1209,15,3,NA,"Port #29","Swab",NA,NA,"105, 205, 207",3,7,14,7,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"32.3","No Amp","No Amp","30.4","Negative",37.4,NA,NA,NA,"uo","Negative"
"242",45,"E43","Barnhart","Roof","3/24/2021",1214,2021-03-25,1010,3,11,NA,"Exhaust #26","PUF",NA,NA,NA,0,3,3,0,"202, 302, 402, 502, 602, 702",NA,"30.1","No Amp","30.7","28.1","Positive (2/3)",33.6,NA,NA,NA,"uo","Positive"
"243",443,"E431","Barnhart","Indoors",NA,NA,2021-04-07,1050,12,NA,NA,"W. Entrance Door Handle Exterior","Swab",NA,NA,NA,NA,9,16,7,NA,NA,"31.4","No Amp","No Amp","29.2","Negative",37.1,NA,NA,NA,"uo","Negative"
"244",444,"E432","Barnhart","Indoors",NA,NA,2021-04-07,1050,12,NA,NA,"W. Entrance Door Handle Interior","Swab",NA,NA,NA,NA,9,16,7,NA,NA,"26.8","28.8","No Amp","28.7","Positive (2/3)",31.9,NA,NA,NA,"uo","Positive"
"245",445,"E433","Barnhart","Indoors",NA,NA,2021-04-07,1050,12,NA,NA,"Lobby Call Elevator Button","Swab",NA,NA,NA,NA,9,16,7,NA,NA,"31.7","No Amp","No Amp","29.3","Negative",37.2,NA,NA,NA,"uo","Negative"
"246",446,"E434","Barnhart","Indoors",NA,NA,2021-04-07,1050,12,NA,NA,"Positive Floor Elevator Railing","Swab",NA,NA,NA,NA,9,16,7,NA,NA,"31.6","32.6","No Amp","29.1","Positive (2/3)",34.7,NA,NA,NA,"uo","Positive"
"247",447,"E435","Barnhart","Indoors",NA,NA,2021-04-07,1050,12,NA,NA,"Positive Floor Elevator Buttons","Swab",NA,NA,NA,NA,9,16,7,NA,NA,"30.3","No Amp","No Amp","27.9","Negative",36.8,NA,NA,NA,"uo","Negative"
"248",448,"E436","Barnhart","Indoors",NA,NA,2021-04-07,1050,12,NA,NA,"2nd Floor Elevator Call Button","Swab",NA,NA,NA,NA,9,16,7,NA,NA,"31.5","32.1","No Amp","32.4","Positive (2/3)",34.5,NA,NA,NA,"uo","Positive"
"249",449,"E437","Barnhart","Indoors",NA,NA,2021-04-07,1050,12,NA,NA,"2nd Floor N Hallway Door Handle","Swab",NA,NA,NA,NA,9,16,7,NA,NA,"25.1","26.4","24.7","30","Positive (3/3)",25.4,NA,NA,NA,"uo","Positive"
"250",450,"E438","Barnhart","Indoors",NA,NA,2021-04-07,1050,12,NA,NA,"2nd Floor Stairway Door Handle","Swab",NA,NA,NA,NA,9,16,7,NA,NA,"31.2","33.8","28.4","29","Positive (3/3)",31.1,NA,NA,NA,"uo","Positive"
"251",46,"E44","Barnhart","Port",NA,NA,2021-03-25,1012,3,10,NA,"Port #27","Swab",NA,NA,NA,0,3,3,0,"101, 106, 204, 304, 404, 504, 604, 704",NA,"30.8","No Amp","30.4","27.8","Positive (2/3)",33.7,NA,NA,NA,"uo","Positive"
"252",456,"E444","Barnhart","Port",NA,NA,2021-04-07,1135,16,5,NA,"Port #26","Swab",NA,NA,"202",1,9,16,7,"202, 302, 402, 502, 602, 702",NA,"No Amp","No Amp","No Amp","21.6","Negative",40,NA,NA,NA,"uo","Negative"
"253",457,"E445","Barnhart","Roof","4/6/2021",1159,2021-04-07,1136,16,5,NA,"Exhaust #26","PUF",NA,NA,"202",1,9,16,7,"202, 302, 402, 502, 602, 702",NA,"28.6","No Amp","27.8","29.1","Positive (2/3)",32.1,NA,NA,NA,"uo","Positive"
"254",458,"E446","Barnhart","Port",NA,NA,2021-04-07,1137,16,7,NA,"Port #27","Swab",NA,NA,"204",1,9,16,7,"101, 106, 204, 304, 404, 504, 604, 704",NA,"33.7","No Amp","No Amp","29.5","Negative",37.9,NA,NA,NA,"uo","Negative"
"255",459,"E447","Barnhart","Roof","4/6/2021",1201,2021-04-07,1138,16,7,"K","Exhaust #27","PUF",NA,NA,"204",1,9,16,7,"101, 106, 204, 304, 404, 504, 604, 704",NA,"32.6","No Amp","No Amp","29.7","Negative",37.5,NA,NA,NA,"uo","Negative"
"256",460,"E448","Barnhart","Port",NA,NA,2021-04-07,1140,16,9,NA,"Port #30","Swab","1 departed today",NA,"206, 208",2,9,16,7,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"30.2","No Amp","No Amp","25.1","Negative",36.7,NA,NA,NA,"uo","Negative"
"257",47,"E45","Barnhart","Roof","3/24/2021",1216,2021-03-25,1012,3,10,NA,"Exhaust #27","PUF",NA,NA,NA,0,3,3,0,"101, 106, 204, 304, 404, 504, 604, 704",NA,"31.9","No Amp","30.3","27","Positive (2/3)",34.1,NA,NA,NA,"uo","Positive"
"258",462,"E450","Barnhart","Port",NA,NA,2021-04-07,1143,16,8,NA,"Port #31","Swab",NA,NA,"210, 212",2,9,16,7,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"31","31.8","29.2","29.2","Positive (3/3)",30.7,NA,NA,NA,"uo","Positive"
"259",464,"E452","Barnhart","Port",NA,NA,2021-04-07,1147,16,4,NA,"Port #34","Swab",NA,NA,"214",1,9,16,7,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"31.7","No Amp","No Amp","29.2","Negative",37.2,NA,NA,NA,"uo","Negative"
"260",465,"E453","Barnhart","Roof","4/6/2021",1206,2021-04-07,1148,16,4,NA,"Exhaust #34","PUF",NA,NA,"214",1,9,16,7,"114, 116, 214, 216, 314, 316, 414, 416, 514, 516, 614, 616, 714, 716",NA,"30.8","31.2","No Amp","29.4","Positive (2/3)",34,NA,NA,NA,"uo","Positive"
"261",466,"E454","Barnhart","Port",NA,NA,2021-04-07,1149,16,NA,NA,"Port #32","Swab",NA,NA,"209, 211",2,9,16,7,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"33.1","No Amp","No Amp","27.9","Negative",37.7,NA,NA,NA,"uo","Negative"
"262",468,"E456","Barnhart","Port",NA,NA,2021-04-07,1152,16,3,NA,"Port #29","Swab","1 departed today",NA,"205, 207",2,9,16,7,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"No Amp","No Amp","No Amp","27.6","Negative",40,NA,NA,NA,"uo","Negative"
"263",469,"E457","Barnhart","Roof","4/6/2021",1210,2021-04-07,1153,16,3,"C","Exhaust #29","PUF","1 departed today",NA,"205, 207",2,9,16,7,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"32.3","No Amp","31.2","25.6","Positive (2/3)",34.5,NA,NA,NA,"uo","Positive"
"264",470,"E458","Barnhart","Roof","4/6/2021",1215,2021-04-07,1157,16,2,NA,"Exhaust #38 & #39","PUF",NA,NA,NA,0,9,16,7,"225, 325, 425, 525, 625, 725, 221, 321, 421, 521, 621, 721, 223, 323, 423, 523, 623, 723",NA,"33.6","No Amp","No Amp","30.3","Negative",37.9,NA,NA,NA,"uo","Negative"
"265",48,"E46","Barnhart","Port",NA,NA,2021-03-25,1014,3,9,NA,"Port #30","Swab",NA,NA,NA,0,3,3,0,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"31.5","No Amp","23.5","30.3","Positive (2/3)",31.6,NA,NA,NA,"uo","Positive"
"266",473,"E460","Barnhart","Indoors",NA,NA,2021-04-08,1050,13,NA,NA,"W. Entrance Door Handle Interior","Swab",NA,NA,NA,NA,8,16,8,NA,NA,"34.5","No Amp","No Amp","28.9","Negative",38.2,NA,NA,NA,"uo","Negative"
"267",474,"E461","Barnhart","Indoors",NA,NA,2021-04-08,1050,13,NA,NA,"Lobby Call Elevator Button","Swab",NA,NA,NA,NA,8,16,8,NA,NA,"No Amp","No Amp","No Amp","27.2","Negative",40,NA,NA,NA,"uo","Negative"
"268",475,"E462","Barnhart","Indoors",NA,NA,2021-04-08,1050,13,NA,NA,"Positive Floor Elevator Railing","Swab",NA,NA,NA,NA,8,16,8,NA,NA,"No Amp","No Amp","No Amp","27","Negative",40,NA,NA,NA,"uo","Negative"
"269",476,"E463","Barnhart","Indoors",NA,NA,2021-04-08,1050,13,NA,NA,"Positive Floor Elevator Buttons","Swab",NA,NA,NA,NA,8,16,8,NA,NA,"31.1","33.1","No Amp","27.5","Positive (2/3)",34.7,NA,NA,NA,"uo","Positive"
"270",477,"E464","Barnhart","Indoors",NA,NA,2021-04-08,1050,13,NA,NA,"2nd Floor Elevator Call Button","Swab",NA,NA,NA,NA,8,16,8,NA,NA,"32.6","No Amp","No Amp","27.5","Negative",37.5,NA,NA,NA,"uo","Negative"
"271",478,"E465","Barnhart","Indoors",NA,NA,2021-04-08,1050,13,NA,NA,"2nd Floor N Hallway Door Handle","Swab",NA,NA,NA,NA,8,16,8,NA,NA,"28.1","28.8","25.7","27.1","Positive (3/3)",27.5,NA,NA,NA,"uo","Positive"
"272",479,"E466","Barnhart","Indoors",NA,NA,2021-04-08,1050,13,NA,NA,"2nd Floor Stairway Door Handle","Swab",NA,NA,NA,NA,8,16,8,NA,NA,"31.6","32","No Amp","27.8","Positive (2/3)",34.6,NA,NA,NA,"uo","Positive"
"273",49,"E47","Barnhart","Roof","3/24/2021",1219,2021-03-25,1014,3,9,"Z","Exhaust #30","PUF",NA,NA,NA,0,3,3,0,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"30.3","31.9","32.7","27.6","Positive (3/3)",31.6,NA,NA,NA,"uo","Positive"
"274",485,"E472","Barnhart","Port",NA,NA,2021-04-08,1122,17,5,NA,"Port #26","Swab",NA,NA,"202",1,8,16,8,"202, 302, 402, 502, 602, 702",NA,"33.7","No Amp","No Amp","27","Negative",37.9,NA,NA,NA,"uo","Negative"
