"","X.2","SampleID","Site","Room.Type","Start.Date","SamplerStart","CollectionDate","SamplerEnd","Entry","SamplerNumber","Cartridge","Location","CollectionMethod","Notes","Flushed.Toilets","occupiedrooms","stack.n","wing.n","building.n","s.wing.n","source.rooms","Runtime","N","ORF1ab","S","MS2","Result","ct","X","X.1","LogCopiesPerL","lab","Result.clean"
"118",261,"E253","Barnhart","Roof","3/30/2021",1114,2021-03-31,1344,9,5,"I","Exhaust #33","PUF",NA,NA,NA,0,8,8,1,"113, 115, 213, 215, 313, 413, 513, 613, 713, 315, 415, 515, 615, 715",NA,"31.6","29.4","20.7","30.7","Positive (3/3)",27.2,NA,NA,NA,"uo","Positive"
"119",262,"E254","Barnhart","Port",NA,NA,2021-03-31,1346,9,4,NA,"Port #32","Swab",NA,NA,"209",1,8,8,1,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"31.8","33.3","31","31.3","Positive (3/3)",32,NA,NA,NA,"uo","Positive"
"120",263,"E255","Barnhart","Roof","3/30/2021",1116,2021-03-31,1346,9,4,"G","Exhaust #32","PUF",NA,NA,"209",1,8,8,1,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"30.9","No Amp","32","31.8","Positive (2/3)",34.3,NA,NA,NA,"uo","Positive"
"121",264,"E256","Barnhart","Port",NA,NA,2021-03-31,1348,9,3,NA,"Port #29","Swab",NA,NA,"105, 107, 205, 207",4,8,8,1,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"33.7","No Amp","No Amp","32.1","Negative",37.9,NA,NA,NA,"uo","Negative"
"122",265,"E257","Barnhart","Roof","3/30/2021",1118,2021-03-31,1348,9,3,"C","Exhaust #29","PUF",NA,NA,"105, 107, 205, 207",4,8,8,1,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"27.9","26.3","24.9","27.5","Positive (3/3)",26.4,NA,NA,NA,"uo","Positive"
"123",266,"E258","Barnhart","Roof","3/30/2021",1125,2021-03-31,1350,9,2,NA,"Exhaust #38 & #39","PUF",NA,NA,NA,0,8,8,1,"225, 325, 425, 525, 625, 725, 221, 321, 421, 521, 621, 721, 223, 323, 423, 523, 623, 723",NA,"30.9","32","No Amp","28.4","Positive (2/3)",34.3,NA,NA,NA,"uo","Positive"
"124",267,"E259","Barnhart","Port",NA,NA,2021-03-31,1110,9,1,NA,"Port #40","Swab",NA,NA,NA,0,8,8,1,"227, 327, 427, 527, 627, 727, 229, 329, 429, 529, 629, 729",NA,"31.7","No Amp","31.1","29.5","Positive (2/3)",34.3,NA,NA,NA,"uo","Positive"
"125",27,"E26","Barnhart","Roof","3/23/2021",1124,2021-03-24,1219,2,9,"Z","Exhaust #30","PUF",NA,NA,NA,0,2,2,0,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"32","No Amp","No Amp","28.3","Negative",37.3,NA,NA,NA,"uo","Negative"
"126",268,"E260","Barnhart","Roof","3/30/2021",1120,2021-03-31,1110,9,1,NA,"Exhaust #40","PUF",NA,NA,NA,0,8,8,1,"227, 327, 427, 527, 627, 727, 229, 329, 429, 529, 629, 729",NA,"33.4","No Amp","No Amp","31.1","Negative",37.8,NA,NA,NA,"uo","Negative"
"127",269,"E263","Barnhart","Roof","3/31/2021",1332,2021-03-31,1530,9,11,NA,"Exhaust #26","PUF",NA,NA,"202",1,8,8,NA,"202, 302, 402, 502, 602, 702",NA,"30.5","No Amp","29.4","28","Positive (2/3)",33.3,NA,NA,NA,"uo","Positive"
"128",270,"E264","Barnhart","Roof","3/31/2021",1334,2021-03-31,1530,9,10,NA,"Exhaust #27","PUF",NA,NA,"204",1,8,8,NA,"101, 106, 204, 304, 404, 504, 604, 704",NA,"34.5","No Amp","No Amp","34.6","Negative",38.2,NA,NA,NA,"uo","Negative"
"129",276,"E269","Barnhart","Indoors",NA,NA,2021-04-01,1125,6,NA,NA,"Positive Floor Elevator Buttons","Swab",NA,NA,NA,NA,10,10,4,NA,NA,"30.6","No Amp","31","30","Positive (2/3)",33.9,NA,NA,NA,"uo","Positive"
"130",28,"E27","Barnhart","Port",NA,NA,2021-03-24,1221,2,8,NA,"Port #31","Swab",NA,NA,NA,0,2,2,0,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"32.5","30.9","25","28.7","Positive (3/3)",29.5,NA,NA,NA,"uo","Positive"
"131",278,"E271","Barnhart","Indoors",NA,NA,2021-04-01,1125,6,NA,NA,"2nd Floor N Hallway Door Handle","Swab",NA,NA,NA,NA,10,10,4,NA,NA,"28.8","28.9","24.6","31","Positive (3/3)",27.5,NA,NA,NA,"uo","Positive"
"132",285,"E278","Barnhart","Port",NA,NA,2021-04-01,1205,10,5,NA,"Port #26","Swab",NA,NA,"202",1,10,10,4,"202, 302, 402, 502, 602, 702",NA,"30.6","No Amp","No Amp","26","Negative",36.9,NA,NA,NA,"uo","Negative"
"133",29,"E28","Barnhart","Roof","3/23/2021",1127,2021-03-24,1221,2,8,"F","Exhaust #31","PUF",NA,NA,NA,0,2,2,0,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"30.8","No Amp","29.4","28.7","Positive (2/3)",33.4,NA,NA,NA,"uo","Positive"
"134",288,"E281","Barnhart","Roof","3/31.5/2021",1334,2021-04-01,1207,10,7,"K","Exhaust #27","PUF",NA,NA,"204",1,10,10,4,"101, 106, 204, 304, 404, 504, 604, 704",NA,"30.6","30.2","No Amp","29.2","Positive (2/3)",33.6,NA,NA,NA,"uo","Positive"
"135",290,"E283","Barnhart","Roof","3/31/2021",1336,2021-04-01,1209,10,9,"Z","Exhaust #30","PUF",NA,NA,"206, 208",2,10,10,4,"108, 206, 208 306, 308, 406, 408, 506, 508, 606, 608, 706, 708",NA,"31","No Amp","29.9","27.8","Positive (2/3)",33.6,NA,NA,NA,"uo","Positive"
"136",292,"E285","Barnhart","Roof","3/31/2021",1338,2021-04-01,1210,10,8,"F","Exhaust #31","PUF",NA,NA,"210",1,10,10,4,"110, 112, 210, 212, 310, 312, 410, 412, 510, 512, 610, 612, 710, 712",NA,"31.1","No Amp","No Amp","25.7","Negative",37,NA,NA,NA,"uo","Negative"
"137",294,"E287","Barnhart","Roof","3/31/2021",1346,2021-04-01,1212,10,4,"G","Exhaust #32","PUF",NA,NA,"209",1,10,10,4,"109, 111, 209, 211, 309, 409, 509, 609, 311, 411, 511, 611, 711, 709",NA,"31.1","32","No Amp","27.4","Positive (2/3)",34.4,NA,NA,NA,"uo","Positive"
"138",295,"E288","Barnhart","Port",NA,NA,2021-04-01,1214,10,3,NA,"Port #29","Swab",NA,NA,"105, 107, 205, 207",4,10,10,4,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"31.7","No Amp","26.8","No Amp","Positive (2/3)",32.8,NA,NA,NA,"uo","Positive"
"139",296,"E289","Barnhart","Roof","3/31/2021",1348,2021-04-01,1214,10,3,"C","Exhaust #29","PUF",NA,NA,"105, 107, 205, 207",4,10,10,4,"105, 107, 205, 207, 305, 405, 505, 605, 705, 307, 407, 507, 607, 707",NA,"26.1","28.4","No Amp","31.8","Positive (2/3)",31.5,NA,NA,NA,"uo","Positive"
