SampleID,Site,Room #,Date,Entry,SamplerStart,SamplerEnd,SamplerNumber,Location,CollectionMethod,Notes,N,ORF1ab,S,MS2,Result,Ct,isobuild,isonwing,isoswing,quarbuild,quarnwing,quarswing,isostack49,quarstack49,buildingcensus,stacktotal,Day,segment
5875,Barnhart,Lobby,3/6/2021,84,1802,1821,4,TF,PUF,NA,29.4,No Amp,No Amp,30.6,Negative,36.5,8,8,,12,1,11,,1,20,1,28,overnight
6022,Barnhart,Lobby,3/15/2021,92,1809,1610,4,TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,No Amp,Negative,40,3,3,,6,,6,,,9,0,37,overnight
5876,Barnhart,Lobby,3/7/2021,84,NA,1821,NA,Next to TFS,Settling Plate,NA,NA,NA,NA,NA,NA,NA,5,5,,10,1,9,,1,15,1,29,
5877,Barnhart,Lobby,3/7/2021,84,NA,1821,NA,Door South,Settling Plate,NA,NA,NA,NA,NA,NA,NA,5,5,,10,1,9,,1,15,1,29,
5878,Barnhart,Lobby,3/7/2021,84,NA,1821,NA,Door West,Settling Plate,NA,No Amp,No Amp,No Amp,No Amp,Negative,40,5,5,,10,1,9,,1,15,1,29,
5882,Barnhart,Roof,3/7/2021,31,NA,1830,NA,Roof port,swab,NA,29.8,No Amp,29.4,30.5,Positive (2/3),33.1,5,5,,10,1,9,,1,15,1,29,
6021,Barnhart,Lobby,3/15/2021,92,1809,1610,3,TF,PUF,0 confirmed positive cases and 7 traced in building 7 South as of 11 AM 3/16,31.9,No Amp,No Amp,33.3,Negative,37.3,3,3,,6,,6,,,9,0,37,overnight
5818,Barnhart,Lobby,3/1/2021,79,1812,1750,4,TF,PUF,NA,NA,NA,NA,NA,NA,NA,13,12,1,10,2,8,,1,23,1,23,overnight
5899,Barnhart,2 Hall North,3/8/2021,12,1825,1727,7,TF,PUF,NA,29.2,No Amp,30.3,30.3,Positive (2/3),33.2,5,5,,10,1,9,,1,15,1,30,overnight
5898,Barnhart,7 Hall North,3/8/2021,12,1828,1725,1,TF,PUF,NA,No Amp,No Amp,No Amp,No Amp,Negative,40,5,5,,10,1,9,,1,15,1,30,overnight
5900,Barnhart,Roof,3/8/2021,33,1830,1733,5,Roof Exhaust TF,PUF,NA,33.6,No Amp,No Amp,27.4,Negative,37.9,5,5,,10,1,9,,1,15,1,30,overnight
5896,Barnhart,Lobby,3/8/2021,85,NA,1757,NA,Door South,Settling Plate,NA,No Amp,No Amp,No Amp,31.5,Negative,40,5,5,,10,1,9,,1,15,1,30,
5895,Barnhart,Lobby,3/8/2021,85,NA,1757,NA,Next to TFS,Settling Plate,NA,NA,NA,NA,NA,NA,NA,5,5,,10,1,9,,1,15,1,30,
5897,Barnhart,Lobby,3/8/2021,85,NA,1757,NA,Door West,Settling Plate,NA,No Amp,No Amp,No Amp,No Amp,Negative,40,5,5,,10,1,9,,1,15,1,30,
5901,Barnhart,Roof,3/8/2021,32,NA,1733,NA,Roof port,swab,NA,No Amp,No Amp,No Amp,No Amp,Negative,40,5,5,,10,1,9,,1,15,1,30,
5928,Barnhart,2 Hall North,3/9/2021,13,1725,1634,7,TF,PUF,NA,32.5,No Amp,29.8,32,Positive (2/3),34.1,7,7,,8,1,7,,,15,0,31,overnight
5929,Barnhart,7 Hall North,3/9/2021,13,1725,1640,1,TF,PUF,NA,30.5,No Amp,No Amp,30,Negative,36.8,7,7,,8,1,7,,,15,0,31,overnight
5961,Barnhart,Roof,3/9/2021,35,1725,1740,5,Roof Exhaust TF,PUF,NA,No Amp,No Amp,No Amp,32.8,Negative,40,7,7,,8,1,7,,,15,0,31,overnight
5930,Barnhart,Roof,3/9/2021,34,1733,1725,5,Roof Exhaust TF,PUF,NA,32.2,No Amp,No Amp,31,Negative,37.4,7,7,,8,1,7,,,15,0,31,overnight
5925,Barnhart,Lobby,3/9/2021,86,NA,1631,NA,Next to TFS,Settling Plate,NA,NA,NA,NA,NA,NA,NA,7,7,,8,1,7,,,15,0,31,
5926,Barnhart,Lobby,3/9/2021,86,NA,1631,NA,Door South,Settling Plate,NA,NA,NA,NA,NA,NA,NA,7,7,,8,1,7,,,15,0,31,
5927,Barnhart,Lobby,3/9/2021,86,NA,1631,NA,Door West,Settling Plate,NA,NA,NA,NA,NA,NA,NA,7,7,,8,1,7,,,15,0,31,
5962,Barnhart,Roof,3/9/2021,34,NA,1740,NA,Roof port,swab,NA,30.7,No Amp,No Amp,26.7,Negative,36.9,7,7,,8,1,7,,,15,0,31,
5931,Barnhart,Roof,3/9/2021,33,NA,1725,NA,Roof port,swab,NA,NA,NA,NA,NA,NA,NA,7,7,,8,1,7,,,15,0,31,
5954,Barnhart,Lobby,3/10/2021,87,1645,1743,3,TF,PUF,NA,No Amp,No Amp,No Amp,27.9,Negative,40,7,7,,7,1,6,,,14,0,32,aftertrac
5955,Barnhart,Lobby,3/10/2021,87,1645,1743,4,TF,PUF,NA,32.5,31.2,19.8,30.1,Positive (3/3),27.9,7,7,,7,1,6,,,14,0,32,aftertrac
5959,Barnhart,2 Hall North,3/10/2021,14,1634,1734,7,TF,PUF,NA,32.7,30.6,25.8,31.4,Positive (3/3),29.7,7,7,,7,1,6,,,14,0,32,aftertrac
5960,Barnhart,7 Hall North,3/10/2021,14,1640,1738,1,TF,PUF,NA,33.4,33.1,No Amp,28.7,Positive (2/3),35.5,7,7,,7,1,6,,,14,0,32,aftertrac
5981,Barnhart,Roof,3/10/2021,36,1740,1747,5,Roof Exhaust TF,PUF,NA,No Amp,No Amp,No Amp,28.9,Negative,40,7,7,,7,1,6,,,14,0,32,overnight
